#M z y MLa eta sup_ad
2.656250000000000000e+00 1.652343749999999820e-02 2.867187500000000222e-01 2.086718749999999734e+00 1.270312499999999845e-01 1.699218750000000208e-02
2.256250000000000089e+00 2.402343750000000139e-02 3.367187499999999556e-01 1.736718750000000089e+00 2.170312500000000089e-01 4.492187500000000520e-03
2.356249999999999734e+00 1.839843749999999986e-02 3.242187500000000000e-01 1.649218750000000178e+00 2.395312499999999734e-01 1.386718750000000104e-02
2.756249999999999645e+00 2.589843749999999958e-02 2.742187500000000111e-01 1.999218749999999822e+00 1.495312500000000044e-01 1.367187500000000130e-03
2.556249999999999911e+00 2.214843749999999972e-02 3.492187499999999667e-01 1.824218750000000000e+00 1.945312499999999889e-01 2.011718750000000139e-02
2.156250000000000000e+00 2.964843749999999944e-02 2.992187499999999778e-01 2.174218749999999645e+00 2.845312500000000133e-01 7.617187500000000694e-03
2.106250000000000178e+00 1.558593749999999910e-02 3.429687499999999889e-01 1.955468750000000089e+00 1.832812500000000067e-01 1.542968750000000069e-02
2.506249999999999645e+00 2.308593750000000056e-02 2.929687500000000000e-01 1.605468750000000000e+00 2.732812500000000311e-01 2.929687500000000000e-03
2.706249999999999822e+00 1.933593749999999722e-02 3.179687499999999667e-01 2.130468749999999911e+00 2.282812499999999911e-01 2.167968750000000278e-02
2.306249999999999911e+00 2.683593749999999695e-02 2.679687499999999778e-01 1.780468750000000044e+00 1.382812499999999944e-01 9.179687500000000347e-03
2.206249999999999822e+00 2.121093749999999889e-02 2.804687499999999889e-01 1.867968749999999956e+00 1.607812499999999867e-01 2.480468750000000208e-02
2.606249999999999734e+00 2.871093749999999861e-02 3.304687499999999778e-01 2.217968749999999822e+00 2.507812499999999556e-01 1.230468750000000139e-02
2.406250000000000000e+00 1.746093749999999903e-02 2.554687500000000222e-01 1.692968750000000133e+00 2.957812499999999956e-01 1.855468750000000000e-02
2.006250000000000089e+00 2.496093749999999875e-02 3.054687500000000111e-01 2.042968750000000000e+00 2.057812499999999989e-01 6.054687500000000173e-03
2.009374999999999911e+00 1.998046875000000083e-02 2.792968750000000000e-01 1.733984375000000133e+00 2.824218749999999889e-01 2.158203125000000139e-02
2.409374999999999822e+00 2.748046875000000056e-02 3.292968749999999889e-01 2.083984375000000000e+00 1.924218749999999922e-01 9.082031250000000694e-03
2.609375000000000000e+00 1.623046875000000097e-02 2.542968749999999778e-01 1.908984374999999956e+00 1.474218749999999800e-01 1.533203125000000104e-02
2.209375000000000089e+00 2.373046874999999722e-02 3.042968749999999667e-01 2.258984374999999822e+00 2.374218750000000044e-01 2.832031250000000347e-03
2.309375000000000178e+00 1.810546874999999917e-02 3.417968750000000000e-01 2.171484374999999911e+00 2.149218749999999845e-01 1.845703125000000208e-02
2.709374999999999645e+00 2.560546874999999889e-02 2.917968750000000111e-01 1.821484375000000044e+00 1.249218750000000017e-01 5.957031250000000520e-03
2.509374999999999911e+00 2.185546874999999903e-02 3.167968749999999778e-01 1.996484374999999867e+00 1.699218750000000000e-01 2.470703125000000069e-02
2.109375000000000000e+00 2.935546874999999875e-02 2.667968749999999889e-01 1.646484375000000000e+00 2.599218749999999689e-01 1.220703125000000000e-02
2.159374999999999822e+00 1.529296875000000014e-02 3.230468749999999556e-01 1.777734375000000089e+00 2.036718750000000022e-01 1.689453125000000069e-02
2.559374999999999734e+00 2.279296874999999986e-02 2.730468750000000222e-01 2.127734374999999734e+00 2.936718750000000266e-01 4.394531250000000000e-03
2.759374999999999911e+00 1.904296875000000000e-02 3.480468749999999778e-01 1.602734375000000044e+00 2.486718749999999867e-01 2.314453125000000278e-02
2.359375000000000000e+00 2.654296874999999972e-02 2.980468749999999889e-01 1.952734374999999911e+00 1.586718749999999900e-01 1.064453125000000035e-02
2.259374999999999911e+00 2.091796874999999820e-02 2.605468750000000111e-01 2.040234374999999822e+00 1.361718749999999978e-01 2.001953125000000000e-02
2.659374999999999822e+00 2.841796875000000139e-02 3.105468750000000000e-01 1.690234374999999956e+00 2.261718749999999944e-01 7.519531250000000173e-03
2.459375000000000089e+00 1.716796874999999833e-02 2.855468749999999778e-01 2.215234374999999645e+00 2.711718749999999512e-01 1.376953125000000139e-02
2.059375000000000178e+00 2.466796874999999806e-02 3.355468749999999667e-01 1.865234375000000000e+00 1.811718749999999822e-01 1.269531250000000043e-03
2.084375000000000089e+00 1.763671874999999875e-02 2.699218749999999778e-01 2.018359375000000178e+00 2.430468749999999956e-01 8.300781250000000000e-03
2.484375000000000000e+00 2.513671874999999847e-02 3.199218749999999667e-01 1.668359375000000089e+00 1.530468749999999989e-01 2.080078125000000069e-02
2.684374999999999734e+00 2.138671874999999861e-02 2.949218750000000000e-01 2.193359375000000000e+00 1.980468750000000111e-01 2.050781250000000087e-03
2.284374999999999822e+00 2.888671874999999833e-02 3.449218749999999889e-01 1.843359374999999911e+00 2.880468749999999800e-01 1.455078125000000035e-02
2.384374999999999911e+00 1.951171875000000042e-02 3.074218750000000111e-01 1.930859375000000044e+00 2.655468749999999600e-01 5.175781250000000694e-03
2.784374999999999822e+00 2.701171874999999667e-02 2.574218750000000222e-01 2.280859374999999911e+00 1.755468749999999911e-01 1.767578125000000139e-02
2.584374999999999645e+00 1.576171875000000056e-02 3.324218749999999778e-01 1.755859375000000000e+00 1.305468750000000067e-01 1.142578125000000104e-02
2.184375000000000178e+00 2.326171875000000028e-02 2.824218749999999889e-01 2.105859374999999645e+00 2.205468749999999756e-01 2.392578125000000000e-02
2.134374999999999911e+00 2.232421874999999944e-02 3.261718750000000000e-01 2.237109374999999734e+00 1.642968750000000089e-01 3.613281250000000173e-03
2.534374999999999822e+00 2.982421874999999917e-02 2.761718750000000111e-01 1.887109375000000089e+00 2.542968749999999778e-01 1.611328125000000000e-02
2.734375000000000000e+00 1.857421874999999958e-02 3.011718749999999778e-01 2.062109374999999911e+00 2.992968750000000178e-01 9.863281250000001388e-03
2.334375000000000089e+00 2.607421874999999931e-02 2.511718749999999889e-01 1.712109375000000044e+00 2.092968749999999933e-01 2.236328125000000208e-02
2.234375000000000000e+00 1.669921874999999792e-02 2.886718750000000222e-01 1.624609375000000133e+00 1.867968749999999734e-01 6.738281250000000347e-03
2.634374999999999911e+00 2.419921875000000111e-02 3.386718749999999556e-01 1.974609375000000000e+00 2.767968749999999978e-01 1.923828125000000278e-02
2.434374999999999734e+00 2.044921874999999778e-02 2.636718750000000000e-01 1.799609374999999956e+00 2.317968749999999856e-01 4.882812500000000000e-04
2.034374999999999822e+00 2.794921874999999750e-02 3.136718749999999889e-01 2.149609374999999822e+00 1.417968749999999889e-01 1.298828125000000069e-02
2.046875000000000000e+00 1.599609374999999903e-02 3.496093750000000000e-01 2.116796874999999911e+00 2.571093749999999734e-01 1.660156250000000173e-03
2.446874999999999911e+00 2.349609374999999875e-02 2.996093750000000111e-01 1.766796875000000044e+00 1.671093750000000044e-01 1.416015625000000000e-02
2.646874999999999645e+00 1.974609374999999889e-02 3.246093749999999778e-01 2.291796874999999734e+00 1.221093749999999922e-01 7.910156249999999653e-03
2.246875000000000178e+00 2.724609374999999861e-02 2.746093749999999889e-01 1.941796875000000089e+00 2.121093749999999889e-01 2.041015625000000208e-02
2.346874999999999822e+00 2.162109375000000056e-02 2.871093750000000000e-01 1.854296874999999956e+00 2.346093750000000089e-01 1.103515625000000069e-02
2.746874999999999734e+00 2.912109375000000028e-02 3.371093749999999889e-01 2.204296874999999822e+00 1.446093749999999845e-01 2.353515625000000139e-02
2.546875000000000000e+00 1.787109375000000069e-02 2.621093749999999778e-01 1.679296875000000133e+00 1.896093749999999967e-01 4.785156250000000347e-03
2.146875000000000089e+00 2.537109374999999695e-02 3.121093749999999667e-01 2.029296875000000000e+00 2.796093749999999933e-01 1.728515624999999931e-02
2.196874999999999911e+00 1.880859374999999806e-02 2.558593750000000000e-01 2.160546874999999645e+00 1.783593749999999867e-01 9.472656250000001041e-03
2.596874999999999822e+00 2.630859374999999778e-02 3.058593749999999889e-01 1.810546875000000000e+00 2.683593749999999556e-01 2.197265625000000000e-02
2.796875000000000000e+00 1.505859374999999993e-02 2.808593750000000222e-01 1.985546874999999822e+00 2.233593749999999711e-01 3.222656250000000260e-03
2.396875000000000089e+00 2.255859374999999792e-02 3.308593749999999556e-01 1.635546875000000178e+00 1.333593750000000022e-01 1.572265625000000139e-02
2.296875000000000000e+00 1.693359374999999986e-02 3.183593750000000000e-01 1.723046875000000089e+00 1.558593749999999944e-01 9.765625000000000542e-05
2.696874999999999911e+00 2.443359374999999958e-02 2.683593750000000111e-01 2.073046874999999734e+00 2.458593749999999911e-01 1.259765625000000035e-02
2.496874999999999734e+00 2.068359374999999972e-02 3.433593749999999667e-01 1.898046874999999911e+00 2.908593749999999756e-01 6.347656250000000000e-03
2.096874999999999822e+00 2.818359374999999944e-02 2.933593749999999778e-01 2.248046875000000000e+00 2.008593750000000067e-01 1.884765625000000069e-02
2.071874999999999911e+00 2.115234375000000014e-02 3.027343750000000000e-01 1.657421875000000044e+00 2.177343749999999800e-01 1.494140625000000069e-02
2.471874999999999822e+00 2.865234374999999639e-02 2.527343750000000111e-01 2.007421874999999911e+00 1.277343749999999833e-01 2.441406250000000000e-03
2.671875000000000000e+00 1.740234375000000028e-02 3.277343749999999667e-01 1.832421875000000089e+00 1.727343749999999956e-01 2.119140625000000278e-02
2.271875000000000089e+00 2.490234375000000000e-02 2.777343749999999778e-01 2.182421874999999734e+00 2.627343749999999645e-01 8.691406250000000347e-03
2.371874999999999734e+00 1.552734374999999861e-02 2.652343750000000222e-01 2.269921874999999645e+00 2.852343749999999845e-01 2.431640625000000208e-02
2.771874999999999645e+00 2.302734374999999833e-02 3.152343749999999556e-01 1.919921875000000000e+00 1.952343749999999878e-01 1.181640625000000139e-02
2.571874999999999911e+00 1.927734374999999847e-02 2.902343749999999889e-01 2.094921874999999822e+00 1.502343750000000033e-01 1.806640625000000000e-02
2.171875000000000000e+00 2.677734374999999820e-02 3.402343749999999778e-01 1.744921874999999956e+00 2.402343750000000000e-01 5.566406250000000173e-03
2.121875000000000178e+00 1.833984375000000111e-02 2.964843749999999667e-01 1.876171875000000044e+00 1.389843749999999933e-01 2.275390625000000069e-02
2.521874999999999645e+00 2.583984375000000083e-02 3.464843749999999556e-01 2.226171874999999911e+00 2.289843749999999900e-01 1.025390625000000000e-02
2.721874999999999822e+00 2.208984374999999750e-02 2.714843750000000000e-01 1.701171875000000000e+00 2.739843750000000022e-01 1.650390625000000208e-02
2.321874999999999911e+00 2.958984374999999722e-02 3.214843749999999889e-01 2.051171875000000089e+00 1.839843749999999778e-01 4.003906250000000520e-03
2.221874999999999822e+00 2.021484374999999931e-02 3.339843750000000000e-01 1.963671874999999956e+00 2.064843749999999978e-01 1.337890625000000104e-02
2.621874999999999734e+00 2.771484374999999903e-02 2.839843750000000111e-01 1.613671875000000089e+00 2.964843750000000222e-01 8.789062500000000217e-04
2.421875000000000000e+00 1.646484374999999944e-02 3.089843749999999778e-01 2.138671875000000000e+00 2.514843749999999822e-01 1.962890625000000139e-02
2.021875000000000089e+00 2.396484374999999917e-02 2.589843749999999889e-01 1.788671874999999911e+00 1.614843749999999856e-01 7.128906250000000694e-03
2.015625000000000000e+00 1.798828124999999820e-02 3.097656249999999889e-01 2.231640624999999822e+00 1.657031250000000067e-01 1.162109375000000035e-02
2.415624999999999911e+00 2.548828125000000139e-02 2.597656250000000000e-01 1.881640624999999956e+00 2.557031250000000311e-01 2.412109375000000278e-02
